timestamp,host,user,pid,parent_pid,process_name,command_line,integrity_level
2026-08-15T14:30:01Z,AD-WS-14,carlos.mendez,1000,478,explorer.exe,C:\Windows\System32\explorer.exe,Medium
2026-08-15T14:30:04Z,AD-WS-14,carlos.mendez,1001,520,conhost.exe,C:\Windows\System32\conhost.exe,Medium
2026-08-15T14:31:26Z,AD-WS-14,carlos.mendez,1002,506,svchost.exe,C:\Windows\System32\svchost.exe,Medium
2026-08-15T14:31:34Z,AD-WS-14,carlos.mendez,1003,999,RuntimeBroker.exe,C:\Windows\System32\RuntimeBroker.exe,Medium
2026-08-15T14:32:10Z,AD-WS-14,carlos.mendez,1004,986,svchost.exe,C:\Windows\System32\svchost.exe,Medium
2026-08-15T14:33:05Z,AD-WS-14,carlos.mendez,1005,621,RuntimeBroker.exe,C:\Windows\System32\RuntimeBroker.exe,Medium
2026-08-15T14:33:38Z,AD-WS-14,carlos.mendez,1006,450,cmd.exe,C:\Windows\System32\cmd.exe,Medium
2026-08-15T14:34:29Z,AD-WS-14,carlos.mendez,1007,893,RuntimeBroker.exe,C:\Windows\System32\RuntimeBroker.exe,Medium
2026-08-15T14:35:15Z,AD-WS-14,carlos.mendez,1008,983,RuntimeBroker.exe,C:\Windows\System32\RuntimeBroker.exe,Medium
2026-08-15T14:36:17Z,AD-WS-14,carlos.mendez,1009,624,explorer.exe,C:\Windows\System32\explorer.exe,Medium
2026-08-15T14:36:35Z,AD-WS-14,carlos.mendez,1010,447,explorer.exe,C:\Windows\System32\explorer.exe,Medium
2026-08-15T14:36:56Z,AD-WS-14,carlos.mendez,1011,464,RuntimeBroker.exe,C:\Windows\System32\RuntimeBroker.exe,Medium
2026-08-15T14:37:37Z,AD-WS-14,carlos.mendez,1012,928,explorer.exe,C:\Windows\System32\explorer.exe,Medium
2026-08-15T14:38:19Z,AD-WS-14,carlos.mendez,1013,484,conhost.exe,C:\Windows\System32\conhost.exe,Medium
2026-08-15T14:38:33Z,AD-WS-14,carlos.mendez,1014,975,cmd.exe,C:\Windows\System32\cmd.exe,Medium
2026-08-15T14:38:56Z,AD-WS-14,carlos.mendez,1015,832,conhost.exe,C:\Windows\System32\conhost.exe,Medium
2026-08-15T14:39:31Z,AD-WS-14,carlos.mendez,1016,421,conhost.exe,C:\Windows\System32\conhost.exe,Medium
2026-08-15T14:39:44Z,AD-WS-14,carlos.mendez,1017,418,explorer.exe,C:\Windows\System32\explorer.exe,Medium
2026-08-15T14:40:23Z,AD-WS-14,carlos.mendez,1018,922,conhost.exe,C:\Windows\System32\conhost.exe,Medium
2026-08-15T14:40:33Z,AD-WS-14,carlos.mendez,1019,975,explorer.exe,C:\Windows\System32\explorer.exe,Medium
2026-08-15T14:40:51Z,AD-WS-14,carlos.mendez,1020,816,RuntimeBroker.exe,C:\Windows\System32\RuntimeBroker.exe,Medium
2026-08-15T14:41:11Z,AD-WS-14,carlos.mendez,1021,918,cmd.exe,C:\Windows\System32\cmd.exe,Medium
2026-08-15T14:42:54Z,AD-WS-14,carlos.mendez,1022,521,cmd.exe,C:\Windows\System32\cmd.exe,Medium
2026-08-15T14:43:00Z,AD-WS-14,carlos.mendez,1023,522,RuntimeBroker.exe,C:\Windows\System32\RuntimeBroker.exe,Medium
2026-08-15T14:43:21Z,AD-WS-14,carlos.mendez,1024,641,chrome.exe,C:\Windows\System32\chrome.exe,Medium
2026-08-15T14:43:25Z,AD-WS-14,carlos.mendez,1025,725,explorer.exe,C:\Windows\System32\explorer.exe,Medium
2026-08-15T14:43:27Z,AD-WS-14,carlos.mendez,1026,931,cmd.exe,C:\Windows\System32\cmd.exe,Medium
2026-08-15T14:43:39Z,AD-WS-14,carlos.mendez,1027,583,SearchApp.exe,C:\Windows\System32\SearchApp.exe,Medium
2026-08-15T14:43:43Z,AD-WS-14,carlos.mendez,1028,654,RuntimeBroker.exe,C:\Windows\System32\RuntimeBroker.exe,Medium
2026-08-15T14:43:59Z,AD-WS-14,carlos.mendez,1029,917,chrome.exe,C:\Windows\System32\chrome.exe,Medium
